Time_stamp,Irradiance,P1 (kW),Q1 (kvar),P2 (kW),Q2 (kvar),P3 (kW),Q3 (kvar)
01-01 0:00,0,1054.1,330.193,694.955,168.293,857,207.844
01-01 1:00,0,974.683,279.816,642.716,133.293,792.199,168.917
01-01 2:00,0,1060.91,334.534,699.502,171.348,862.587,211.213
01-01 3:00,0,1119.35,367.98,737.886,193.617,910.2,236.274
01-01 4:00,0,1144.24,383.99,754.273,204.695,930.563,248.619
01-01 5:00,0,1158.82,393.391,763.898,211.212,942.492,255.863
01-01 6:00,0,1157.47,392.521,762.961,210.578,941.368,255.18
01-01 7:00,0,1177.66,405.569,776.251,219.59,957.871,265.215
01-01 8:00,0,1134.53,377.737,747.86,200.357,922.624,243.802
01-01 9:00,489,1080.56,343.138,712.507,176.505,878.708,217.238
01-01 10:00,646,-1375.39,423.977,-1742.8,328.04,-1576.64,359.75
01-01 11:00,763,-1822.56,490.67,-2173.96,407.801,-2013.83,441.182
01-01 12:00,840,-1853.98,479.751,-2194.36,399.247,-2039.93,432.393
01-01 13:00,840,-1590.01,414.396,-1924,330.397,-1774.19,361.074
01-01 14:00,785,-800.432,314.447,-1145.94,210.23,-991.764,238.458
01-01 15:00,662,1038.3,323.465,685.6,161.969,845.184,200.735
01-01 16:00,0,1144.12,387.257,755.314,205.358,931.622,249.277
01-01 17:00,0,1195.94,417.416,788.208,227.713,972.777,274.293
01-01 18:00,0,1242.98,448.029,819.211,248.825,1011.31,297.829
01-01 19:00,0,1319.27,493.863,869.335,279.415,1073.54,332.186
01-01 20:00,0,1300.02,481.21,856.677,270.738,1057.83,322.527
01-01 21:00,0,1298.1,479.95,855.418,269.876,1056.26,321.562
01-01 22:00,0,1298.55,480.244,855.723,270.084,1056.63,321.79
01-01 23:00,0,1274.1,464.221,839.632,259.076,1036.63,309.517
01-02 0:00,0,1239.29,441.499,816.904,243.565,1008.34,292.211
01-02 1:00,0,1221.94,430.213,805.422,235.746,994.124,283.525
01-02 2:00,0,1238.62,441.066,816.515,243.299,1007.81,291.89
01-02 3:00,0,1241.42,442.889,818.307,244.521,1010.08,293.274
01-02 4:00,0,1249.15,447.928,823.409,247.999,1016.41,297.145
01-02 5:00,0,1264.19,457.746,833.328,254.768,1028.72,304.682
01-02 6:00,0,1282.69,469.847,845.445,263.05,1043.83,313.94
01-02 7:00,0,1310.8,488.288,863.759,275.591,1066.64,327.938
01-02 8:00,0,1277.02,466.13,841.545,260.384,1039.01,310.979
01-02 9:00,419,1185.13,406.346,781.278,219.341,964.063,265.212
01-02 10:00,586,-1064.79,411.775,-1451.56,304.024,-1273.48,336.194
01-02 11:00,755,-1452.64,439.058,-1821.29,344.639,-1654.17,376.803
01-02 12:00,836,-1328.36,392.559,-1680.68,298.746,-1522.51,329.201
01-02 13:00,843,-1065.85,331.116,-1402.72,234.967,-1253.04,263.146
01-02 14:00,797,954.214,270.299,630.212,124.917,775.485,162.247
01-02 15:00,679,956.723,271.877,631.903,126.043,777.552,163.482
01-02 16:00,0,1036.17,322.107,684.252,161.062,843.502,199.723
01-02 17:00,0,1072.11,341.691,706.803,176.264,871.707,216.715
01-02 18:00,0,1096.75,353.483,723.015,183.584,891.737,225.104
01-02 19:00,0,1143.07,383.239,753.514,204.181,929.613,248.043
01-02 20:00,0,1106.23,359.562,729.25,187.788,899.51,229.804
01-02 21:00,0,1074.83,339.477,708.735,173.967,874.027,214.413
01-02 22:00,0,1050.17,323.756,692.489,163.048,853.879,202.271
01-02 23:00,0,1011.66,299.309,667.143,146.058,822.443,183.376
01-03 0:00,0,966.86,274.428,638.682,127.005,786.926,162.108
01-03 1:00,0,951.955,265.059,628.821,120.435,774.713,154.811
01-03 2:00,0,963.227,272.142,636.279,125.404,783.949,160.329
01-03 3:00,0,970.264,276.57,640.909,128.491,789.694,163.764
01-03 4:00,0,971.032,277.053,641.402,128.82,790.316,164.136
01-03 5:00,0,975.452,279.836,644.322,130.769,793.93,166.298
01-03 6:00,0,1000.44,295.605,660.79,141.769,814.346,178.526
01-03 7:00,0,1031.66,315.373,681.362,155.543,839.878,193.856
01-03 8:00,0,976.419,280.445,644.936,131.178,794.714,166.766
01-03 9:00,152,880.263,223.698,582.754,89.8061,716.5,123.548
01-03 10:00,177,857.967,209.851,567.973,80.0291,698.288,112.754
01-03 11:00,201,818.041,185.168,541.12,65.7144,665.838,93.5683
