Time_stamp,Irradiance,P1 (kW),Q1 (kvar),P2 (kW),Q2 (kvar),P3 (kW),Q3 (kvar)
01-01 0:00,0,1151.49,392.007,760.122,208.615,937.65,252.937
01-01 1:00,0,1104.13,361.572,728.964,187.555,898.945,229.475
01-01 2:00,0,1178.51,406.123,776.748,219.929,958.533,265.617
01-01 3:00,0,1221.48,434.013,805.084,239.193,993.7,287.061
01-01 4:00,0,1239.94,446.047,817.214,247.463,1008.83,296.309
01-01 5:00,0,1251.61,453.664,824.922,252.723,1018.35,302.141
01-01 6:00,0,1235.94,443.438,814.518,245.625,1005.5,294.27
01-01 7:00,0,1208.9,425.834,796.782,233.542,983.41,280.778
01-01 8:00,0,893.735,228.671,590.815,95.1861,727.632,126.773
01-01 9:00,115,871.212,218.074,576.776,85.8491,709.11,119.166
01-01 10:00,233,-1703.02,350.714,-1981.43,280.633,-1851.19,310.821
01-01 11:00,328,-2703.04,601.635,-2981.44,542.021,-2849.65,585.964
01-01 12:00,374,-3180.96,753.063,-3441.12,696.88,-3313.76,750.477
01-01 13:00,361,-3079.78,694.633,-3329.18,639.115,-3209.18,690.367
01-01 14:00,295,-2356.43,481.067,-2621.16,421.158,-2499.45,458.814
01-01 15:00,186,844.777,205.686,558.118,80.5714,687.22,110.017
01-01 16:00,68,909.832,242.463,601.094,105.538,740.383,137.987
01-01 17:00,7,945.238,264.65,624.437,121.064,769.312,155.239
01-01 18:00,0,959.829,273.823,634.077,127.488,781.24,162.368
01-01 19:00,0,1262.95,460.281,833.662,254.952,1028.97,304.855
01-01 20:00,0,1284.94,471.326,846.847,264.011,1045.63,315.042
01-01 21:00,0,1303.73,483.643,859.112,272.406,1060.85,324.384
01-01 22:00,0,1322.05,495.691,871.179,280.68,1075.86,333.61
01-01 23:00,0,1325.02,497.648,873.134,282.022,1078.29,335.108
01-02 0:00,0,1322.23,495.809,871.274,280.746,1076,333.695
01-02 1:00,0,1321.63,495.418,870.893,280.484,1075.51,333.399
01-02 2:00,0,1331.01,501.596,877.101,284.745,1083.21,338.136
01-02 3:00,0,1336.81,505.421,880.899,287.354,1087.95,341.055
01-02 4:00,0,1344.53,510.51,885.976,290.843,1094.26,344.947
01-02 5:00,0,1358.77,519.923,895.367,297.303,1105.93,352.148
01-02 6:00,0,1062.37,331.031,702.009,165.795,865.43,205.528
01-02 7:00,0,1047.84,321.793,692.382,159.334,853.524,198.36
01-02 8:00,0,1011.83,298.997,667.919,146.36,822.985,183.409
01-02 9:00,113,960.342,270.386,634.07,127.307,781.037,161.955
01-02 10:00,231,-1665.05,352.475,-1949.24,280.761,-1816.16,310.989
01-02 11:00,328,-2739.78,591.869,-2996.34,533.339,-2882.3,577.824
01-02 12:00,377,-3285.34,745.717,-3518.11,690.843,-3415.83,748.757
01-02 13:00,366,-3204.42,694.374,-3426.47,640.349,-3331.02,695.944
01-02 14:00,301,-2511.52,470.265,-2741.77,415.309,-2646.62,454.304
01-02 15:00,191,745.939,148.14,493.747,38.1596,606.595,65.7895
01-02 16:00,71,780.994,169.643,516.91,53.3657,635.19,82.6013
01-02 17:00,7,803.914,183.753,531.939,63.2567,653.766,93.5491
01-02 18:00,0,822.482,195.216,544.302,71.4105,669.934,99.7811
01-02 19:00,0,819.321,193.262,542.202,70.025,667.331,98.2418
01-02 20:00,0,813.993,189.97,538.681,67.7034,662.978,95.6684
01-02 21:00,0,1052.08,328.903,693.625,167.398,855.349,206.849
01-02 22:00,0,1059.1,333.378,698.302,170.542,861.111,210.323
01-02 23:00,0,1054.2,330.254,695.048,168.354,857.099,207.903
01-03 0:00,0,1042.16,322.582,687.107,163.018,847.26,201.975
01-03 1:00,0,1046.35,325.254,689.91,164.901,850.703,204.05
01-03 2:00,0,1054.93,330.719,695.565,168.701,857.709,208.272
01-03 3:00,0,1061.55,334.944,699.917,171.627,863.115,211.532
01-03 4:00,0,1067.28,338.6,703.681,174.16,867.789,214.351
01-03 5:00,0,1066.55,338.134,703.184,173.826,867.186,213.987
01-03 6:00,0,860.203,211.537,568.4,83.8688,699.896,113.932
01-03 7:00,0,849.611,204.962,561.375,79.226,691.233,108.798
01-03 8:00,0,820.967,187.231,542.504,66.7722,667.868,94.976
01-03 9:00,86,795.975,171.808,525.988,55.8961,647.465,82.9326
01-03 10:00,156,735.316,138.029,486.801,30.1405,597.987,57.2222
01-03 11:00,202,-1538.14,222.954,-1761.47,161.981,-1662.81,186.606
01-03 12:00,239,-2009.45,265.516,-2196.36,215.336,-2114.88,243.364
01-03 13:00,258,-2222.79,310.208,-2411.03,260.146,-2331.01,291.882
01-03 14:00,223,-1849.5,223.5,-2037.32,172.09,-1958.44,197.887
01-03 15:00,136,553.436,38.7383,367.281,-40.6965,450.433,-21.6642
01-03 16:00,48,541.989,31.917,359.706,-45.5818,441.105,-27.0476
01-03 17:00,5,530.153,24.8755,351.879,-50.6245,431.461,-32.6068
01-03 18:00,0,525.781,22.2777,348.992,-52.4826,427.901,-34.6575
01-03 19:00,0,534.56,27.4977,354.808,-48.7378,435.057,-30.534
01-03 20:00,0,552.598,38.2397,366.744,-41.0436,449.757,-22.054
01-03 21:00,0,689.712,117.44,456.668,17.3568,561.586,39.6062
01-03 22:00,0,678.674,110.736,449.375,12.5988,552.571,34.3366
01-03 23:00,0,677.802,110.208,448.811,12.231,551.864,33.9238
01-04 0:00,0,686.641,115.575,454.658,16.0445,559.079,38.1406
01-04 1:00,0,693.965,120.026,459.491,19.1996,565.054,41.635
01-04 2:00,0,713.303,131.801,472.272,27.5511,580.837,50.8776
01-04 3:00,0,737.678,143.089,488.402,34.6632,600.773,59.032
01-04 4:00,0,763.542,158.925,505.512,45.882,621.91,71.4539
01-04 5:00,0,782.098,170.321,517.754,53.9245,637.058,80.3736
01-04 6:00,0,621.737,72.7661,411.827,-15.2466,506.195,3.79781
01-04 7:00,0,614.692,68.529,407.18,-18.2607,500.448,0.459746
01-04 8:00,0,593.815,55.9887,393.376,-27.201,483.422,-9.41821
01-04 9:00,52,569.355,41.352,377.225,-37.6534,462.826,-17.9464
01-04 10:00,141,525.604,18.6994,348.926,-55.932,427.808,-38.1605
01-04 11:00,206,-1736.4,161.727,-1895.52,116.523,-1828.55,138.536
01-04 12:00,192,499.756,6.95494,331.182,-60.5154,406.107,-43.7524
01-04 13:00,165,467.246,-12.2688,309.694,-74.2995,379.66,-58.9294
01-04 14:00,159,437.561,-29.7456,290.091,-86.8412,355.523,-72.7406
01-04 15:00,115,432.091,-32.9545,286.493,-89.1396,351.081,-75.2774
01-04 16:00,42,482.556,-3.22514,319.826,-67.8048,392.118,-51.7855
