Time_stamp,RPF_Flag,Total_RPF,P_kW,Q_kvar,V1,V2,V3,EnergyCost_USD_per_kWh,P_c_kW,P_d_kW,E_kWh,Pnet_kW,Pmax_kW
01-01 0:00,0,0.0,2606.055,706.33,1.019149437,1.019164384,1.01916884,0.0481,0.0,0.0,10000.0,2606.055,10992.29421017967
01-01 1:00,0,0.0,2409.598,582.026,1.017261335,1.017271744,1.017275491,0.0481,0.0,0.0,10000.0,2409.598,10979.141145182071
01-01 2:00,0,0.0,2622.999,717.095,1.02008845,1.020103814,1.020105563,0.0481,0.0,0.0,10000.0,2622.999,11001.767597202504
01-01 3:00,0,0.0,2767.436,797.871,1.022120029,1.022138974,1.022138765,0.0481,0.0,0.0,10000.0,2767.436,11018.219589083164
01-01 4:00,0,0.0,2829.076,837.304,1.023388632,1.023409366,1.023407451,0.0481,0.0,0.0,10000.0,2829.076,11029.043706532353
01-01 5:00,0,0.0,2865.21,860.466,1.024438896,1.024460754,1.024457257,0.0481,0.0,0.0,10000.0,2865.21,11038.646546329317
01-01 6:00,0,0.0,2861.799,858.279,1.025093702,1.02511552,1.025111106,0.0481,0.0,0.0,10000.0,2861.799,11045.915292514399
01-01 7:00,0,0.0,2911.782,890.374,1.026310884,1.026333951,1.026328788,0.0703,0.0,0.0,10000.0,2911.782,11056.572494935548
01-01 8:00,0,0.0,2805.014,821.896,1.025788105,1.025808132,1.025802927,0.0703,0.0,0.0,10000.0,2805.014,11056.207851691192
01-01 9:00,0,0.0,2671.775,736.881,1.01832384,1.018471523,1.018418853,0.0703,0.0,0.0,10000.0,2671.775,10981.345360903319
01-01 10:00,1,-4694.83,-4694.83,1111.767,0.98603146,0.9861527035,0.9860999509,0.0703,4694.83000000046,0.0,10000.0,4.602043190971017e-10,10598.87532361057
01-01 11:00,1,-6010.35,-6010.35,1339.653,0.9803080313,0.9804414325,0.9803819766,0.0703,6010.35,0.0,14460.088500000438,0.0,10510.132195196617
01-01 12:00,1,-6088.27,-6088.27,1311.391,0.9785211461,0.9786688284,0.9786033769,0.0703,6088.27,0.0,20169.92100000044,0.0,10494.233372125922
01-01 13:00,1,-5288.2,-5288.2,1105.867,0.979649852,0.9798031552,0.9797363713,0.0703,5288.2,0.0,25953.77750000044,0.0,10530.143311186526
01-01 14:00,1,-2938.136,-2938.136,763.135,0.9870595321,0.9872219951,0.987155003,0.0703,2938.136,0.0,30977.56750000044,0.0,10640.806424545839
01-01 15:00,0,0.0,2569.084,686.169,1.011734345,1.011914295,1.011850966,0.0703,0.0,0.0,33768.79670000044,2569.084,10913.271737473888
01-01 16:00,0,0.0,2831.056,841.892,1.023992185,1.024006965,1.024010421,0.0703,0.0,0.0,33768.79670000044,2831.056,11035.236600879418
01-01 17:00,0,0.0,2956.925,919.422,1.024267606,1.024286966,1.024290297,0.0703,0.0,0.0,33768.79670000044,2956.925,11032.034726515178
01-01 18:00,0,0.0,3073.501,994.683,1.024551396,1.024575586,1.024578334,0.0999,0.0,3073.501,33768.79670000044,0.0,11028.583396086646
01-01 19:00,0,0.0,3262.145,1105.464,1.025675855,1.025706748,1.025708414,0.0999,0.0,3262.145,30533.532489474124,0.0,11030.244564745053
01-01 20:00,0,0.0,3214.527,1074.475,1.024843138,1.024873615,1.02487578,0.0999,0.0,3214.5270000000005,27099.695647368862,-4.547473508864641e-13,11024.263748445761
01-01 21:00,0,0.0,3209.778,1071.388,1.024694248,1.024725225,1.024727474,0.0999,0.0,3209.778,23715.983015789916,0.0,11022.947400391817
01-01 22:00,0,0.0,3210.903,1072.118,1.024799337,1.024830314,1.024832687,0.0481,0.0,0.0,20337.26933157939,3210.903,11024.017583599047
01-01 23:00,0,0.0,3150.362,1032.814,1.02442628,1.024455592,1.024458006,0.0481,0.0,0.0,20337.26933157939,3150.362,11023.719658974738
01-02 0:00,0,0.0,3064.534,977.275,1.023950049,1.023979694,1.023981276,0.0481,0.0,0.0,20337.26933157939,3064.534,11023.61476695884
01-02 1:00,0,0.0,3021.486,949.484,1.023909579,1.023937767,1.023938683,0.0481,0.0,0.0,20337.269331579388,3021.486,11025.6042015562
01-02 2:00,0,0.0,3062.945,976.255,1.024825651,1.024854754,1.024854046,0.0481,0.0,0.0,20337.269331579388,3062.945,11033.205655036207
01-02 3:00,0,0.0,3069.807,980.684,1.02544411,1.025473296,1.02547109,0.0481,0.0,0.0,20337.269331579388,3069.807,11039.523507987571
01-02 4:00,0,0.0,3088.969,993.072,1.026254843,1.026284654,1.02628099,0.0481,0.0,0.0,20337.269331579388,3088.969,11047.213787868284
01-02 5:00,0,0.0,3126.238,1017.196,1.027310311,1.027341288,1.027336209,0.0481,0.0,0.0,20337.269331579388,3126.238,11056.474360238753
01-02 6:00,0,0.0,3171.965,1046.837,1.028478654,1.028511172,1.028504802,0.0481,0.0,0.0,20337.269331579388,3171.965,11066.391193369938
01-02 7:00,0,0.0,3241.199,1091.817,1.029876161,1.029910719,1.029903266,0.0703,0.0,0.0,20337.269331579388,3241.199,11077.221539287944
01-02 8:00,0,0.0,3157.575,1037.493,1.029595577,1.029627595,1.029620184,0.0703,0.0,0.0,20337.269331579388,3157.575,11079.395688737042
01-02 9:00,0,0.0,2930.471,890.899,1.021947324,1.02208568,1.022037091,0.0703,0.0,0.0,20337.269331579388,2930.471,11009.215352914789
01-02 10:00,1,-3789.83,-3789.83,1051.993,0.9906270571,0.9907475096,0.990696464,0.0703,3789.83,0.0,20337.269331579388,0.0,10654.886839573866
01-02 11:00,1,-4928.1,-4928.1,1160.5,0.9844850634,0.9846310386,0.9845687098,0.0703,4928.1,0.0,23937.607831579386,0.0,10576.83656711648
01-02 12:00,1,-4531.55,-4531.55,1020.506,0.9839931776,0.9841577224,0.9840885237,0.0703,4531.55,0.0,28619.302831579385,0.0,10585.919591660628
01-02 13:00,1,-3721.61,-3721.61,829.229,0.9851138894,0.9852847212,0.9852140652,0.0703,3721.61,0.0,32924.27533157938,0.0,10614.767450487621
01-02 14:00,0,0.0,2359.911,557.463,1.009344697,1.009555791,1.009481596,0.0703,0.0,0.0,36459.804831579386,2359.911,10894.741664376323
01-02 15:00,0,0.0,2366.178,561.402,1.009586685,1.009769175,1.009704722,0.0703,0.0,0.0,36459.804831579386,2366.178,10897.15827429018
01-02 16:00,0,0.0,2563.924,682.892,1.021280318,1.021290768,1.021294557,0.0703,0.0,0.0,36459.804831579386,2563.924,11016.850025288259
