Time_stamp,RPF_Flag,Total_RPF,P (kW),Q (kvar),V1,V2,V3,EnergyCost_USD_per_kWh
01-01 0:00,0,0,2606.055,706.33,1.019149437,1.019164384,1.01916884,0.0481
01-01 1:00,0,0,2409.598,582.026,1.017261335,1.017271744,1.017275491,0.0481
01-01 2:00,0,0,2622.999,717.095,1.02008845,1.020103814,1.020105563,0.0481
01-01 3:00,0,0,2767.436,797.871,1.022120029,1.022138974,1.022138765,0.0481
01-01 4:00,0,0,2829.076,837.304,1.023388632,1.023409366,1.023407451,0.0481
01-01 5:00,0,0,2865.21,860.466,1.024438896,1.024460754,1.024457257,0.0481
01-01 6:00,0,0,2861.799,858.279,1.025093702,1.02511552,1.025111106,0.0481
01-01 7:00,0,0,2911.782,890.374,1.026310884,1.026333951,1.026328788,0.0703
01-01 8:00,0,0,2805.014,821.896,1.025788105,1.025808132,1.025802927,0.0703
01-01 9:00,0,0,2671.775,736.881,1.01832384,1.018471523,1.018418853,0.0703
01-01 10:00,1,-4694.83,-4694.83,1111.767,0.98603146,0.9861527035,0.9860999509,0.0703
01-01 11:00,1,-6010.35,-6010.35,1339.653,0.9803080313,0.9804414325,0.9803819766,0.0703
01-01 12:00,1,-6088.27,-6088.27,1311.391,0.9785211461,0.9786688284,0.9786033769,0.0703
01-01 13:00,1,-5288.2,-5288.2,1105.867,0.979649852,0.9798031552,0.9797363713,0.0703
01-01 14:00,1,-2938.136,-2938.136,763.135,0.9870595321,0.9872219951,0.987155003,0.0703
01-01 15:00,0,0,2569.084,686.169,1.011734345,1.011914295,1.011850966,0.0703
01-01 16:00,0,0,2831.056,841.892,1.023992185,1.024006965,1.024010421,0.0703
01-01 17:00,0,0,2956.925,919.422,1.024267606,1.024286966,1.024290297,0.0703
01-01 18:00,0,0,3073.501,994.683,1.024551396,1.024575586,1.024578334,0.0999
01-01 19:00,0,0,3262.145,1105.464,1.025675855,1.025706748,1.025708414,0.0999
01-01 20:00,0,0,3214.527,1074.475,1.024843138,1.024873615,1.02487578,0.0999
01-01 21:00,0,0,3209.778,1071.388,1.024694248,1.024725225,1.024727474,0.0999
01-01 22:00,0,0,3210.903,1072.118,1.024799337,1.024830314,1.024832687,0.0481
01-01 23:00,0,0,3150.362,1032.814,1.02442628,1.024455592,1.024458006,0.0481
01-02 0:00,0,0,3064.534,977.275,1.023950049,1.023979694,1.023981276,0.0481
01-02 1:00,0,0,3021.486,949.484,1.023909579,1.023937767,1.023938683,0.0481
01-02 2:00,0,0,3062.945,976.255,1.024825651,1.024854754,1.024854046,0.0481
01-02 3:00,0,0,3069.807,980.684,1.02544411,1.025473296,1.02547109,0.0481
01-02 4:00,0,0,3088.969,993.072,1.026254843,1.026284654,1.02628099,0.0481
01-02 5:00,0,0,3126.238,1017.196,1.027310311,1.027341288,1.027336209,0.0481
01-02 6:00,0,0,3171.965,1046.837,1.028478654,1.028511172,1.028504802,0.0481
01-02 7:00,0,0,3241.199,1091.817,1.029876161,1.029910719,1.029903266,0.0703
01-02 8:00,0,0,3157.575,1037.493,1.029595577,1.029627595,1.029620184,0.0703
01-02 9:00,0,0,2930.471,890.899,1.021947324,1.02208568,1.022037091,0.0703
01-02 10:00,1,-3789.83,-3789.83,1051.993,0.9906270571,0.9907475096,0.990696464,0.0703
01-02 11:00,1,-4928.1,-4928.1,1160.5,0.9844850634,0.9846310386,0.9845687098,0.0703
01-02 12:00,1,-4531.55,-4531.55,1020.506,0.9839931776,0.9841577224,0.9840885237,0.0703
01-02 13:00,1,-3721.61,-3721.61,829.229,0.9851138894,0.9852847212,0.9852140652,0.0703
01-02 14:00,0,0,2359.911,557.463,1.009344697,1.009555791,1.009481596,0.0703
01-02 15:00,0,0,2366.178,561.402,1.009586685,1.009769175,1.009704722,0.0703
01-02 16:00,0,0,2563.924,682.892,1.021280318,1.021290768,1.021294557,0.0703
01-02 17:00,0,0,2650.62,734.67,1.02124526,1.021259208,1.021263372,0.0703
01-02 18:00,0,0,2711.502,762.171,1.020969964,1.020986743,1.020991032,0.0999
01-02 19:00,0,0,2826.197,835.463,1.021527843,1.02154916,1.021553032,0.0999
01-02 20:00,0,0,2734.99,777.154,1.02021877,1.020238797,1.020243294,0.0999
01-02 21:00,0,0,2657.592,727.857,1.019271305,1.019289917,1.019294871,0.0999
01-02 22:00,0,0,2596.538,689.075,1.018644728,1.01866234,1.018667294,0.0481
01-02 23:00,0,0,2501.246,628.743,1.017730072,1.017745643,1.017750431,0.0481
01-03 0:00,0,0,2392.468,563.541,1.016839856,1.01685601,1.016858051,0.0481
01-03 1:00,0,0,2355.489,540.305,1.016740638,1.016755793,1.016756584,0.0481
01-03 2:00,0,0,2383.455,557.875,1.017507486,1.017523141,1.017522309,0.0481
01-03 3:00,0,0,2400.867,568.825,1.018264759,1.01828083,1.018278291,0.0481
01-03 4:00,0,0,2402.75,570.009,1.018943881,1.018959953,1.018955914,0.0481
01-03 5:00,0,0,2413.704,576.903,1.019793502,1.019810031,1.019804577,0.0481
