V1,V2,V3
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2401.75,2401.76,2401.76
2386.74,2386.74,2386.74
2386.74,2386.75,2386.74
2386.74,2386.75,2386.75
2386.75,2386.75,2386.75
2446.79,2446.8,2446.8
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.8
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.81,2476.82,2476.81
2476.81,2476.82,2476.82
2476.81,2476.82,2476.82
2476.81,2476.82,2476.82
2476.81,2476.82,2476.82
2476.81,2476.82,2476.81
2476.81,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.81,2476.82,2476.82
2401.75,2401.76,2401.76
2401.75,2401.76,2401.76
2401.76,2401.76,2401.76
2401.76,2401.76,2401.76
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.81,2461.81,2461.81
2461.81,2461.81,2461.81
2461.81,2461.81,2461.81
2461.81,2461.81,2461.81
2461.81,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.81,2461.82,2461.81
2461.81,2461.82,2461.81
2461.81,2461.82,2461.82
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.81,2446.81,2446.81
2446.81,2446.81,2446.81
2431.8,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.79
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2371.74,2371.75,2371.74
2356.73,2356.73,2356.73
2356.73,2356.73,2356.73
2341.72,2341.72,2341.72
2341.73,2341.73,2341.73
2416.79,2416.79,2416.79
2416.78,2416.79,2416.79
2431.79,2431.8,2431.8
2431.79,2431.8,2431.79
2446.8,2446.8,2446.8
2446.8,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2386.75,2386.75,2386.75
2371.73,2371.74,2371.73
2371.73,2371.74,2371.73
2371.74,2371.74,2371.74
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2446.8,2446.8,2446.8
2446.79,2446.8,2446.8
2446.8,2446.8,2446.8
2446.8,2446.8,2446.8
2446.8,2446.8,2446.8
2446.8,2446.81,2446.8
2446.8,2446.81,2446.8
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.8
2446.8,2446.81,2446.8
2446.8,2446.8,2446.8
2446.8,2446.81,2446.8
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.8
2446.8,2446.81,2446.8
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2401.76,2401.77,2401.77
2386.74,2386.75,2386.75
2371.73,2371.73,2371.73
2371.73,2371.73,2371.73
2371.73,2371.74,2371.74
2371.74,2371.75,2371.75
2431.79,2431.79,2431.79
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.81,2461.81,2461.81
2461.81,2461.82,2461.81
2386.75,2386.76,2386.75
2386.75,2386.76,2386.76
2386.75,2386.76,2386.76
