V1,V2,V3
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.8
2461.8,2461.81,2461.8
2461.79,2461.81,2461.8
2461.8,2461.81,2461.8
2461.8,2461.81,2461.8
2461.81,2461.82,2461.81
2461.81,2461.82,2461.81
2371.74,2371.74,2371.74
2356.71,2356.72,2356.71
2341.69,2341.7,2341.69
2341.7,2341.7,2341.7
2341.71,2341.71,2341.71
2431.79,2431.79,2431.79
2446.8,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2476.81,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.82,2476.81
2476.8,2476.81,2476.81
2476.81,2476.82,2476.82
2476.81,2476.82,2476.82
2476.81,2476.82,2476.82
2461.81,2461.81,2461.81
2371.74,2371.74,2371.74
2356.71,2356.72,2356.71
2341.69,2341.7,2341.69
2341.7,2341.7,2341.7
2341.71,2341.71,2341.71
2431.79,2431.8,2431.8
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.79,2431.79
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.8,2446.81,2446.8
2446.8,2446.81,2446.8
2446.8,2446.81,2446.8
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2371.74,2371.75,2371.75
2356.73,2356.73,2356.73
2356.73,2356.73,2356.73
2356.73,2356.74,2356.73
2416.79,2416.79,2416.79
2416.79,2416.79,2416.79
2416.79,2416.79,2416.79
2416.79,2416.79,2416.79
2416.79,2416.79,2416.79
2416.79,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.78
2431.79,2431.8,2431.8
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2356.74,2356.74,2356.74
2401.78,2401.78,2401.78
2401.78,2401.78,2401.78
2401.78,2401.78,2401.78
2401.78,2401.78,2401.78
2401.78,2401.78,2401.78
2416.79,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2446.8,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.81,2461.82,2461.81
2461.81,2461.82,2461.81
2461.81,2461.82,2461.81
2461.81,2461.82,2461.82
2371.74,2371.74,2371.74
2341.71,2341.71,2341.71
2341.7,2341.7,2341.7
2326.69,2326.69,2326.69
2326.7,2326.7,2326.7
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2431.8,2431.8,2431.8
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.8,2431.8
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.79,2431.79
2446.79,2446.8,2446.8
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2371.74,2371.74,2371.74
2341.71,2341.71,2341.71
2326.69,2326.69,2326.69
2326.69,2326.69,2326.69
2326.7,2326.7,2326.7
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2431.79,2431.8,2431.8
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2461.8,2461.81,2461.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2371.75,2371.75,2371.75
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.8,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2431.79,2431.8,2431.8
2356.73,2356.74,2356.74
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2431.79,2431.79,2431.79
2431.79,2431.79,2431.79
2446.8,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2446.79,2446.8,2446.8
2461.8,2461.81,2461.81
2461.81,2461.82,2461.81
2461.81,2461.82,2461.81
2461.81,2461.82,2461.81
2461.81,2461.82,2461.82
2371.74,2371.74,2371.74
2341.71,2341.71,2341.71
2341.71,2341.71,2341.71
2341.71,2341.71,2341.71
2341.71,2341.72,2341.71
2341.72,2341.73,2341.73
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2416.78,2416.79,2416.79
2446.8,2446.8,2446.8
2446.8,2446.8,2446.8
2446.8,2446.8,2446.8
2446.8,2446.8,2446.8
2446.8,2446.8,2446.8
2446.8,2446.8,2446.8
2446.79,2446.8,2446.8
2446.8,2446.8,2446.8
2446.79,2446.8,2446.8
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
2446.8,2446.81,2446.81
