Time_stamp,RPF_Flag,EnergyCost_USD_per_kWh,P_kW,Q_kvar,Total_RPF,TotalRPF_kW,P_c_kW,P_d_kW,E_kWh,Pnet_kW,Pmax_kW,Pmax_kW_chk,V1,V2,V3,VLL_min_kV,Smax_kVA,charge_when_RPF0,charge_exceed_TotalRPF,discharge_cap_active,discharge_cap_violation,ampacity_violation,ampacity_binding,at_Pcmax,at_Pdmax,mutex_violation
01-01 0:00,0,0.0481,2606.055,706.33,0.0,-0.0,0.0,0.0,10000.0,2606.055,10992.29421017967,10992.29421017967,1.019149437,1.019164384,1.01916884,4.23966165792,11014.964097628712,False,False,False,False,False,False,False,False,False
01-01 1:00,0,0.0481,2409.598,582.026,0.0,-0.0,0.0,0.0,10000.0,2409.598,10979.141145182071,10979.141145182071,1.017261335,1.017271744,1.017275491,4.2318071536,10994.557496802947,False,False,False,False,False,False,False,False,False
01-01 2:00,0,0.0481,2622.999,717.095,0.0,-0.0,0.0,0.0,10000.0,2622.999,11001.767597202504,11001.767597202504,1.02008845,1.020103814,1.020105563,4.243567952,11025.11294735251,False,False,False,False,False,False,False,False,False
01-01 3:00,0,0.0481,2767.436,797.871,0.0,-0.0,0.0,0.0,10000.0,2767.436,11018.219589083164,11018.219589083164,1.022120029,1.022138974,1.022138765,4.2520193206400005,11047.070247169471,False,False,False,False,False,False,False,False,False
01-01 4:00,0,0.0481,2829.076,837.304,0.0,-0.0,0.0,0.0,10000.0,2829.076,11029.043706532351,11029.043706532353,1.023388632,1.023409366,1.023407451,4.25729670912,11060.78130463743,False,False,False,False,False,False,False,False,False
01-01 5:00,0,0.0481,2865.21,860.466,0.0,-0.0,0.0,0.0,10000.0,2865.21,11038.646546329315,11038.646546329317,1.024438896,1.024460754,1.024457257,4.26166580736,11072.132554839838,False,False,False,False,False,False,False,False,False
01-01 6:00,0,0.0481,2861.799,858.279,0.0,-0.0,0.0,0.0,10000.0,2861.799,11045.9152925144,11045.915292514399,1.025093702,1.02511552,1.025111106,4.26438980032,11079.20969614911,False,False,False,False,False,False,False,False,False
01-01 7:00,0,0.0703,2911.782,890.374,0.0,-0.0,0.0,0.0,10000.0,2911.782,11056.572494935548,11056.572494935548,1.026310884,1.026333951,1.026328788,4.26945327744,11092.364995601312,False,False,False,False,False,False,False,False,False
01-01 8:00,0,0.0703,2805.014,821.896,0.0,-0.0,0.0,0.0,10000.0,2805.014,11056.207851691192,11056.207851691192,1.025788105,1.025808132,1.025802927,4.2672785168,11086.714801717142,False,False,False,False,False,False,False,False,False
01-01 9:00,0,0.0703,2671.775,736.881,0.0,-0.0,0.0,0.0,10000.0,2671.775,10981.34536090332,10981.345360903319,1.01832384,1.018471523,1.018418853,4.236227174400001,11006.041047697116,False,False,False,False,False,False,False,False,False
01-01 10:00,1,0.0703,-4694.83,1111.767,-4694.83,4694.83,4694.83000000046,0.0,10000.0,4.6020431909710164e-10,10598.87532361057,10598.87532361057,0.98603146,0.9861527035,0.9860999509,4.1018908736,10657.02510026743,False,False,False,False,False,False,False,False,False
01-01 11:00,1,0.0703,-6010.35,1339.653,-6010.35,6010.35,6010.35,0.0,14460.088500000438,0.0,10510.132195196617,10510.132195196617,0.9803080313,0.9804414325,0.9803819766,4.078081410208,10595.166299823588,False,False,False,False,False,False,False,False,False
01-01 12:00,1,0.0703,-6088.27,1311.391,-6088.27,6088.27,6088.27,0.0,20169.92100000044,0.0,10494.233372125922,10494.233372125922,0.9785211461,0.9786688284,0.9786033769,4.070647967776,10575.853649872544,False,False,False,False,False,False,False,False,False
01-01 13:00,1,0.0703,-5288.2,1105.867,-5288.2,5288.2,5288.2,0.0,25953.77750000044,0.0,10530.143311186526,10530.143311186526,0.979649852,0.9798031552,0.9797363713,4.07534338432,10588.052699897906,False,False,False,False,False,False,False,False,False
01-01 14:00,1,0.0703,-2938.136,763.135,-2938.136,2938.136,2938.136,0.0,30977.56750000044,0.0,10640.80642454584,10640.806424545839,0.9870595321,0.9872219951,0.987155003,4.106167653536,10668.136500480345,False,False,False,False,False,False,False,False,False
01-01 15:00,0,0.0703,2569.084,686.169,0.0,-0.0,0.0,0.0,33768.79670000044,2569.084,10913.271737473888,10913.271737473888,1.011734345,1.011914295,1.011850966,4.2088148752,10934.821805247095,False,False,False,False,False,False,False,False,False
01-01 16:00,0,0.0703,2831.056,841.892,0.0,-0.0,0.0,0.0,33768.79670000044,2831.056,11035.236600879418,11035.236600879418,1.023992185,1.024006965,1.024010421,4.2598074896,11067.304503674448,False,False,False,False,False,False,False,False,False
01-01 17:00,0,0.0703,2956.925,919.422,0.0,-0.0,0.0,0.0,33768.79670000044,2956.925,11032.034726515178,11032.034726515178,1.024267606,1.024286966,1.024290297,4.26095324096,11070.28125302699,False,False,False,False,False,False,False,False,False
01-01 18:00,0,0.0999,3073.501,994.683,0.0,-0.0,0.0,3073.501,33768.79670000044,0.0,11028.583396086646,11028.583396086646,1.024551396,1.024575586,1.024578334,4.26213380736,11073.348454506751,False,False,True,False,False,False,False,False,False
01-01 19:00,0,0.0999,3262.145,1105.464,0.0,-0.0,0.0,3262.145,30533.532489474124,0.0,11030.244564745051,11030.244564745053,1.025675855,1.025706748,1.025708414,4.2668115568000005,11085.501604049488,False,False,True,False,False,False,False,False,False
01-01 20:00,0,0.0999,3214.527,1074.475,0.0,-0.0,0.0,3214.5270000000005,27099.695647368862,-4.547473508864641e-13,11024.26374844576,11024.263748445761,1.024843138,1.024873615,1.02487578,4.263347454080001,11076.501601178974,False,False,True,False,False,False,False,False,False
01-01 21:00,0,0.0999,3209.778,1071.388,0.0,-0.0,0.0,3209.778,23715.98301578992,0.0,11022.947400391817,11022.947400391817,1.024694248,1.024725225,1.024727474,4.262728071680001,11074.892398499802,False,False,True,False,False,False,False,False,False
01-01 22:00,0,0.0481,3210.903,1072.118,0.0,-0.0,0.0,0.0,20337.26933157939,3210.903,11024.017583599049,11024.017583599047,1.024799337,1.024830314,1.024832687,4.2631652419199995,11076.028200100654,False,False,False,False,False,False,False,False,False
01-01 23:00,0,0.0481,3150.362,1032.814,0.0,-0.0,0.0,0.0,20337.26933157939,3150.362,11023.719658974738,11023.719658974738,1.02442628,1.024455592,1.024458006,4.2616133248,11071.996201149192,False,False,False,False,False,False,False,False,False
01-02 0:00,0,0.0481,3064.534,977.275,0.0,-0.0,0.0,0.0,20337.26933157939,3064.534,11023.61476695884,11023.61476695884,1.023950049,1.023979694,1.023981276,4.25963220384,11066.849097911203,False,False,False,False,False,False,False,False,False
01-02 1:00,0,0.0481,3021.486,949.484,0.0,-0.0,0.0,0.0,20337.269331579388,3021.486,11025.6042015562,11025.6042015562,1.023909579,1.023937767,1.023938683,4.259463848639999,11066.411698271022,False,False,False,False,False,False,False,False,False
01-02 2:00,0,0.0481,3062.945,976.255,0.0,-0.0,0.0,0.0,20337.269331579388,3062.945,11033.205655036209,11033.205655036207,1.024825651,1.024854754,1.024854046,4.26327470816,11076.312601734746,False,False,False,False,False,False,False,False,False
01-02 3:00,0,0.0481,3069.807,980.684,0.0,-0.0,0.0,0.0,20337.269331579388,3069.807,11039.523507987573,11039.523507987571,1.02544411,1.025473296,1.02547109,4.2658474976,11082.996904775631,False,False,False,False,False,False,False,False,False
01-02 4:00,0,0.0481,3088.969,993.072,0.0,-0.0,0.0,0.0,20337.269331579388,3088.969,11047.213787868284,11047.213787868284,1.026254843,1.026284654,1.02628099,4.26922014688,11091.759304639238,False,False,False,False,False,False,False,False,False
01-02 5:00,0,0.0481,3126.238,1017.196,0.0,-0.0,0.0,0.0,20337.269331579388,3126.238,11056.474360238752,11056.474360238753,1.027310311,1.027341288,1.027336209,4.27361089376,11103.166799658238,False,False,False,False,False,False,False,False,False
01-02 6:00,0,0.0481,3171.965,1046.837,0.0,-0.0,0.0,0.0,20337.269331579388,3171.965,11066.391193369938,11066.391193369938,1.028478654,1.028511172,1.028504802,4.27847120064,11115.794247343045,False,False,False,False,False,False,False,False,False
01-02 7:00,0,0.0703,3241.199,1091.817,0.0,-0.0,0.0,0.0,20337.269331579388,3241.199,11077.221539287944,11077.221539287944,1.029876161,1.029910719,1.029903266,4.28428482976,11130.898498861347,False,False,False,False,False,False,False,False,False
01-02 8:00,0,0.0703,3157.575,1037.493,0.0,-0.0,0.0,0.0,20337.269331579388,3157.575,11079.395688737042,11079.395688737042,1.029595577,1.029627595,1.029620184,4.283117600320001,11127.865947820093,False,False,False,False,False,False,False,False,False
01-02 9:00,0,0.0703,2930.471,890.899,0.0,-0.0,0.0,0.0,20337.269331579388,2930.471,11009.215352914787,11009.215352914789,1.021947324,1.02208568,1.022037091,4.25130086784,11045.203652040813,False,False,False,False,False,False,False,False,False
01-02 10:00,1,0.0703,-3789.83,1051.993,-3789.83,3789.83,3789.83,0.0,20337.269331579388,0.0,10654.886839573866,10654.886839573866,0.9906270571,0.9907475096,0.990696464,4.121008557536,10706.694300117724,False,False,False,False,False,False,False,False,False
01-02 11:00,1,0.0703,-4928.1,1160.5,-4928.1,4928.1,4928.1,0.0,23937.607831579386,0.0,10576.83656711648,10576.83656711648,0.9844850634,0.9846310386,0.9845687098,4.0954578637440004,10640.311650393156,False,False,False,False,False,False,False,False,False
01-02 12:00,1,0.0703,-4531.55,1020.506,-4531.55,4531.55,4531.55,0.0,28619.302831579385,0.0,10585.919591660628,10585.919591660628,0.9839931776,0.9841577224,0.9840885237,4.093411618816,10634.995350123116,False,False,False,False,False,False,False,False,False
01-02 13:00,1,0.0703,-3721.61,829.229,-3721.61,3721.61,3721.61,0.0,32924.27533157938,0.0,10614.76745048762,10614.767450487621,0.9851138894,0.9852847212,0.9852140652,4.098073779904,10647.107999939348,False,False,False,False,False,False,False,False,False
01-02 14:00,0,0.0703,2359.911,557.463,0.0,-0.0,0.0,0.0,36459.804831579386,2359.911,10894.741664376324,10894.741664376323,1.009344697,1.009555791,1.009481596,4.19887393952,10908.994496738294,False,False,False,False,False,False,False,False,False
01-02 15:00,0,0.0703,2366.178,561.402,0.0,-0.0,0.0,0.0,36459.804831579386,2366.178,10897.15827429018,10897.15827429018,1.009586685,1.009769175,1.009704722,4.1998806096,10911.609902325821,False,False,False,False,False,False,False,False,False
01-02 16:00,0,0.0703,2563.924,682.892,0.0,-0.0,0.0,0.0,36459.804831579386,2563.924,11016.85002528826,11016.850025288259,1.021280318,1.021290768,1.021294557,4.24852612288,11037.994653167663,False,False,False,False,False,False,False,False,False
01-02 17:00,0,0.0703,2650.62,734.67,0.0,-0.0,0.0,0.0,36459.804831579386,2650.62,11013.138578826743,11013.138578826743,1.02124526,1.021259208,1.021263372,4.2483802816,11037.615746407462,False,False,False,False,False,False,False,False,False
01-02 18:00,0,0.0999,2711.502,762.171,0.0,-0.0,0.0,2711.502,36459.804831579386,0.0,11008.287013776142,11008.287013776142,1.020969964,1.020986743,1.020991032,4.2472350502400005,11034.64034805455,False,False,True,False,False,False,False,False,False
01-02 19:00,0,0.0999,2826.197,835.463,0.0,-0.0,0.0,2826.197,33605.59220000044,0.0,11009.014191769258,11009.014191769258,1.021527843,1.02154916,1.021553032,4.249555826880001,11040.6699026348,False,False,True,False,False,False,False,False,False
01-02 20:00,0,0.0999,2734.99,777.154,0.0,-0.0,0.0,2734.99,30630.64798947412,0.0,10999.100274519886,10999.100274519886,1.02021877,1.020238797,1.020243294,4.244110083200001,11026.521445526663,False,False,True,False,False,False,False,False,False
