LR_Predicted_V1,LR_Predicted_V2,LR_Predicted_V3
2447.675569550395,2447.6979292799533,2447.6958370593193
2443.6761493176223,2443.7127430056034,2443.706567039788
2450.8574608010053,2450.856865245551,2450.894131126702
2456.1375627106427,2456.19976879701,2456.18335292846
2459.4171888512374,2459.4544138137994,2459.4573055651786
2461.891341680884,2461.904030934423,2461.899013939202
2463.125244666934,2463.1477113236488,2463.1645754626393
2465.4994798249004,2465.4720154707134,2465.5031130602956
2463.2975971096753,2463.335428935736,2463.357160911858
2442.8856599634887,2442.9381316621602,2442.9362252429128
2367.070861520171,2367.093225071281,2367.1005460742117
2351.251994065642,2351.272473912388,2351.2758684924247
2345.5947880738972,2345.6292732228335,2345.6229697039726
2349.014958490729,2349.0396074701844,2349.045660209954
2369.0844742769,2369.0900056053697,2369.079705467522
2427.7255493086577,2427.746450421661,2427.7288528063896
2456.088560940623,2456.142286952287,2456.107694359124
2458.433419215083,2458.4378736828266,2458.453110008538
2460.1755409425496,2460.183269367069,2460.172622947991
2463.9678252667186,2463.9911679048837,2463.9761855700613
2462.0726939004658,2462.0915873636304,2462.0640871813894
2461.679551410079,2461.6867161159216,2461.6926723864676
2461.8917379397153,2461.8745277513563,2461.8852578356864
2460.8482944101092,2460.852205184549,2460.860428123772
2459.8159343743323,2459.812313683778,2459.8493545153738
2459.9412529087067,2459.9680499260126,2459.980037498772
2462.5043490552903,2462.5550351564584,2462.552428856194
2464.313028833866,2464.295769969076,2464.3338442614677
2466.4408581614493,2466.42196692422,2466.445406151116
2468.910255885124,2468.9537671659887,2468.9627730944753
2471.4356738615033,2471.4595498044787,2471.4938961413504
2474.3177180695534,2474.311136880964,2474.3482876208427
2472.7851030874253,2472.8283752684297,2472.8076040270926
2452.3517008018493,2452.3565913562475,2452.393546409905
2378.816989104748,2378.833201791793,2378.8413804247975
2361.3937905359267,2361.428318420499,2361.420994835198
2358.407449660301,2358.41851019904,2358.4359203723075
2361.221592566967,2361.2300433297455,2361.2421654894947
2419.931321120262,2419.9239765976367,2419.9222640612725
2422.600648214817,2422.6349450428784,2422.6184603503348
2449.412413983345,2449.453230995387,2449.4566183093193
2450.7036871886253,2450.7116864819823,2450.735935936272
2450.852512602806,2450.893735829443,2450.8734969714287
2452.869879744053,2452.890798433572,2452.8956441882256
2449.806906440258,2449.7950260092316,2449.8142770007253
2447.4775156927108,2447.4938986171783,2447.5032516101005
2446.0384513759614,2446.0592702423037,2446.051982689202
2444.0584333086013,2444.084296408743,2444.057347679436
2441.8948584121463,2441.8952482041714,2441.911395530999
2442.199863535762,2442.2197630700466,2442.172761497796
2444.4078378909826,2444.407310259044,2444.4150063708425
2446.455737110972,2446.468590809107,2446.4784218981863
2448.1435713785886,2448.187102532089,2448.1910567858818
2449.961244217753,2449.91864320457,2449.9587160876395
