NN_Predicted_V1,NN_Predicted_V2,NN_Predicted_V3
2447.7698,2447.8057,2447.8164
2443.235,2443.26,2443.269
2450.0251,2450.062,2450.0662
2454.9045,2454.95,2454.9495
2457.9514,2458.0012,2457.9966
2460.4739,2460.5264,2460.518
2462.0466,2462.099,2462.0884
2464.97,2465.0254,2465.013
2463.7144,2463.7625,2463.75
2445.7869,2446.1416,2446.0151
2368.2278,2368.519,2368.3923
2354.4814,2354.8018,2354.659
2350.1897,2350.5444,2350.3872
2352.9006,2353.2688,2353.1084
2370.697,2371.0872,2370.9263
2429.9604,2430.3926,2430.2405
2459.401,2459.4365,2459.4448
2460.0625,2460.109,2460.117
2460.7441,2460.8022,2460.8088
2463.4448,2463.519,2463.523
2461.4448,2461.518,2461.5232
2461.0872,2461.1616,2461.167
2461.3396,2461.414,2461.4197
2460.4436,2460.514,2460.5198
2459.2998,2459.371,2459.3748
2459.2026,2459.2703,2459.2725
2461.4028,2461.4727,2461.471
2462.8882,2462.9583,2462.953
2464.8354,2464.907,2464.8982
2467.3704,2467.4448,2467.4326
2470.1765,2470.2546,2470.2393
2473.533,2473.616,2473.5981
2472.8591,2472.936,2472.9182
2454.4897,2454.822,2454.7053
2379.2654,2379.5547,2379.4321
2364.5137,2364.8643,2364.7146
2363.3323,2363.7275,2363.5613
2366.024,2366.4343,2366.2646
2424.221,2424.728,2424.5498
2424.8022,2425.2405,2425.0857
2452.8877,2452.9128,2452.9219
2452.8035,2452.837,2452.847
2452.1423,2452.1826,2452.1929
2453.4822,2453.5334,2453.5427
2450.3381,2450.3862,2450.397
2448.0625,2448.1072,2448.1191
2446.5576,2446.5999,2446.6118
2444.3608,2444.3982,2444.4097
2442.2227,2442.2615,2442.2664
2441.9844,2442.0208,2442.0227
2443.8262,2443.8638,2443.8618
2445.645,2445.6836,2445.6775
2447.2761,2447.3147,2447.305
2449.3167,2449.3564,2449.3433
2452.7458,2452.7888,2452.7727
2456.4897,2456.5369,2456.5188
2454.5447,2454.5828,2454.5652
2444.9685,2445.091,2445.0386
2443.4397,2443.572,2443.516
2440.2053,2440.344,2440.2854
2432.7717,2432.9492,2432.8765
2428.29,2428.4998,2428.4163
2425.293,2425.467,2425.397
2422.593,2422.7007,2422.6555
2427.9075,2427.8855,2427.8955
2424.8672,2424.8455,2424.8586
2424.4656,2424.4497,2424.4644
2428.224,2428.2222,2428.237
2426.9668,2426.968,2426.983
2424.4067,2424.4075,2424.4219
2421.7415,2421.7402,2421.7537
2419.6968,2419.6938,2419.7053
2418.7126,2418.7104,2418.7153
2418.9788,2418.975,2418.9773
2421.9666,2421.9656,2421.9644
2425.2227,2425.224,2425.219
2428.8262,2428.8308,2428.8223
2432.3845,2432.3918,2432.38
2435.647,2435.6562,2435.6416
2440.2495,2440.2632,2440.2463
2440.232,2440.2405,2440.224
2436.9226,2436.9382,2436.9172
2360.1204,2360.0764,2360.0627
2345.8157,2345.7747,2345.7563
2350.0989,2350.0212,2350.0168
2341.2986,2341.1584,2341.1758
2353.262,2353.208,2353.1975
2413.9849,2414.0845,2414.0356
2426.6755,2426.6526,2426.659
2430.2458,2430.2363,2430.2446
2434.483,2434.4897,2434.4983
2439.8364,2439.8625,2439.8691
2439.6047,2439.6355,2439.642
2440.0344,2440.0698,2440.0757
2441.2427,2441.2822,2441.2866
2441.562,2441.602,2441.6052
2442.5347,2442.5713,2442.5715
2443.66,2443.6975,2443.6943
2445.9944,2446.0354,2446.028
2448.8787,2448.9233,2448.9116
2451.8005,2451.8486,2451.833
2455.282,2455.335,2455.3157
2459.9954,2460.056,2460.033
2464.7034,2464.7708,2464.7458
2463.7585,2463.819,2463.7942
2441.9705,2442.3608,2442.2144
2365.6343,2365.9314,2365.7937
2349.493,2349.7124,2349.5964
2341.943,2342.1555,2342.0396
2343.6296,2343.9165,2343.7747
2414.0635,2414.5361,2414.3574
2415.1123,2415.51,2415.3574
2441.0476,2441.0493,2441.0527
2441.604,2441.614,2441.6194
2441.5535,2441.5713,2441.5771
2443.206,2443.235,2443.2402
2439.6567,2439.683,2439.6895
2438.4788,2438.5056,2438.5122
2437.2993,2437.3254,2437.3313
2434.5,2434.5212,2434.5256
2431.582,2431.5894,2431.596
2430.3826,2430.3872,2430.3906
2431.3484,2431.3533,2431.3533
2433.245,2433.2515,2433.248
2435.1702,2435.1777,2435.171
2438.298,2438.3088,2438.2986
2442.2827,2442.297,2442.2842
2446.8506,2446.8704,2446.855
2446.0537,2446.0662,2446.0515
2441.8474,2441.862,2441.8435
2442.0144,2442.0234,2442.0066
2441.2861,2441.279,2441.2686
2439.7026,2439.683,2439.678
2437.3765,2437.3513,2437.3499
2435.012,2434.9827,2434.9854
2433.9302,2433.9023,2433.9082
2434.313,2434.2908,2434.2998
2432.8506,2432.832,2432.8438
2432.2888,2432.2764,2432.2896
2433.751,2433.7488,2433.762
2430.6082,2430.6052,2430.6191
2429.5889,2429.588,2429.6016
2427.754,2427.7524,2427.765
2425.5557,2425.5513,2425.5618
2422.7852,2422.7712,2422.7847
2421.945,2421.9287,2421.9395
2424.4773,2424.4636,2424.471
2429.017,2429.0098,2429.0127
2435.0767,2435.0781,2435.077
2441.8572,2441.8687,2441.863
2448.3179,2448.3386,2448.3298
2455.099,2455.131,2455.1191
2456.6978,2456.7285,2456.716
2380.7627,2381.024,2380.9102
2356.7417,2356.974,2356.8623
2347.4673,2347.663,2347.5605
2339.8325,2340.0957,2339.9653
2340.8413,2341.1646,2341.013
2356.6936,2357.0166,2356.872
2421.0315,2421.365,2421.2393
2446.1875,2446.1865,2446.1975
2447.6697,2447.6802,2447.6924
2448.9739,2448.996,2449.0078
2451.204,2451.2402,2451.2502
2449.8335,2449.8713,2449.8818
2448.6863,2448.724,2448.735
2446.4634,2446.4966,2446.5083
2445.5388,2445.5696,2445.5808
2445.3992,2445.4304,2445.4417
2444.8596,2444.8882,2444.8967
2446.9614,2446.9922,2446.997
2448.5725,2448.6042,2448.605
2448.5535,2448.5828,2448.58
2450.6855,2450.716,2450.7102
2451.488,2451.5164,2451.5085
2453.733,2453.7617,2453.7522
2452.9128,2452.935,2452.9255
2445.7979,2445.8687,2445.8376
2373.817,2373.7888,2373.7773
2370.8083,2370.76,2370.7544
2373.9663,2373.8943,2373.8977
2437.0496,2437.0583,2437.05
2432.3152,2432.3416,2432.328
2425.5056,2425.6067,2425.5662
2433.7642,2433.7368,2433.7537
2432.5034,2432.4797,2432.4993
2433.5376,2433.5237,2433.5444
2435.699,2435.6975,2435.7175
2432.9702,2432.9685,2432.9893
2431.3333,2431.3325,2431.353
2430.0632,2430.0623,2430.0818
2431.4912,2431.4944,2431.5117
2431.5361,2431.5464,2431.5588
2430.7258,2430.7332,2430.743
2432.6663,2432.675,2432.6807
2434.1313,2434.1401,2434.142
2436.0203,2436.029,2436.028
2437.9478,2437.9563,2437.9524
2440.696,2440.7063,2440.6995
2444.7988,2444.813,2444.804
2446.4468,2446.4592,2446.45
2442.8381,2442.8567,2442.8428
2442.4407,2442.4739,2442.4543
2433.6958,2433.877,2433.8047
2432.8645,2433.028,2432.9624
2437.871,2437.8755,2437.8699
2434.9336,2434.9497,2434.9414
2433.7517,2433.772,2433.766
2436.436,2436.423,2436.4368
2435.825,2435.8174,2435.8337
2435.7686,2435.768,2435.7856
