XGB_Predicted_V1,XGB_Predicted_V2,XGB_Predicted_V3
2449.2698,2448.826,2449.3083
2447.2512,2447.1528,2447.4802
2449.8086,2449.5933,2449.5374
2462.0984,2462.2087,2462.557
2462.7207,2462.2202,2462.6765
2463.2043,2462.5432,2463.6821
2474.4907,2474.6116,2472.305
2473.9473,2476.303,2473.08
2474.6519,2476.3474,2474.9644
2462.019,2451.8855,2447.1072
2371.9197,2371.0513,2367.7036
2367.745,2364.6965,2362.4287
2364.9521,2363.4248,2357.3218
2365.4822,2362.1453,2359.9104
2352.1848,2354.1863,2353.285
2443.5325,2433.5344,2429.4536
2464.2917,2466.0156,2464.7148
2462.4536,2465.6077,2464.9785
2464.2446,2466.2488,2467.165
2475.8179,2475.7249,2475.3538
2475.5107,2475.549,2475.8035
2474.2078,2475.2126,2475.6777
2474.8608,2475.2808,2475.9294
2474.815,2474.781,2475.9248
2461.4187,2461.3542,2465.5083
2461.4226,2461.5845,2464.511
2461.9126,2461.8364,2465.4524
2463.694,2463.4275,2467.1375
2464.0894,2463.365,2467.1375
2469.2383,2467.0378,2468.5718
2484.9507,2482.8088,2482.572
2486.5042,2484.416,2483.8447
2486.5876,2484.534,2486.2903
2473.982,2460.4907,2456.009
2369.8962,2370.9988,2368.1982
2370.3022,2370.1511,2367.2104
2367.0342,2368.7898,2363.888
2362.0308,2359.3538,2357.0168
2446.8723,2435.9827,2435.5059
2441.8645,2430.6729,2427.7158
2452.5176,2453.0918,2454.7725
2452.9846,2455.8228,2455.908
2461.4434,2463.735,2464.006
2461.809,2461.8015,2462.8052
2460.837,2460.78,2463.2546
2450.9695,2451.4727,2451.5344
2449.011,2448.3582,2449.003
2447.8352,2446.8235,2447.382
2446.8743,2446.409,2447.4658
2447.1152,2446.887,2447.4287
2447.3682,2447.2078,2447.6946
2447.4927,2447.2104,2447.5098
2447.8882,2447.0662,2447.5098
2447.948,2447.3416,2447.954
2459.3965,2459.4534,2459.5786
2460.9592,2461.2913,2460.7805
2460.6028,2461.1,2462.232
2453.4214,2452.805,2455.486
2449.7256,2451.524,2451.1604
2450.2126,2437.3696,2439.41
2446.5156,2432.7915,2431.3452
2441.8032,2427.668,2425.2766
2428.7131,2417.5488,2415.862
2420.0786,2408.343,2410.3955
2428.2954,2428.4597,2430.5166
2425.0942,2424.9807,2426.3152
2422.1604,2423.124,2423.8828
2433.6384,2432.8298,2433.8967
2433.3953,2432.379,2434.3252
2420.695,2420.3604,2421.213
2419.151,2419.2437,2420.4407
2418.3389,2418.1267,2418.0073
2417.6694,2417.414,2417.7695
2416.7021,2417.7625,2417.501
2418.352,2419.8872,2419.276
2418.7285,2420.3987,2420.0444
2419.8337,2421.4185,2421.568
2420.7183,2421.7417,2421.9155
2446.571,2446.6982,2445.7632
2447.7217,2447.742,2447.4875
2448.508,2448.4617,2449.518
2444.1768,2442.775,2442.4758
2364.409,2362.4758,2367.7012
2350.8901,2354.8062,2353.4097
2358.3574,2355.0059,2362.1294
2339.2964,2340.085,2354.9937
2353.5076,2358.6794,2363.0493
2404.684,2395.468,2395.2473
2428.298,2428.5056,2428.5845
2438.3955,2437.9805,2439.073
2437.826,2439.3625,2439.988
2447.7507,2447.7407,2447.4644
2447.3071,2447.2896,2447.914
2447.2136,2447.0554,2447.369
2447.31,2447.3694,2447.0063
2447.1472,2447.039,2447.0017
2446.587,2446.783,2447.1003
2446.8567,2446.6943,2447.3057
2447.1257,2447.0938,2447.3406
2448.2542,2447.68,2448.0537
2450.3254,2449.193,2449.361
2452.2747,2452.506,2452.0276
2472.9397,2473.7397,2470.9067
2473.4404,2475.1157,2471.9275
2474.3298,2475.834,2473.8425
2459.1458,2447.9038,2443.96
2368.281,2369.8865,2367.0598
2357.901,2357.2046,2352.7402
2348.0762,2349.8447,2349.0664
2358.402,2355.8142,2352.6067
2434.7393,2424.9153,2421.0208
2431.128,2420.2686,2414.5825
2440.0427,2441.114,2441.8247
2440.9702,2441.978,2442.066
2448.2588,2449.379,2449.2717
2447.576,2447.8738,2446.677
2446.8757,2446.9875,2446.9502
2446.7822,2446.5488,2446.6035
2446.3442,2446.6167,2446.2947
2432.4841,2432.6902,2432.487
2432.67,2431.9448,2432.091
2432.5842,2432.6455,2432.3167
2432.6526,2432.7007,2432.2751
2432.5986,2432.7383,2433.0164
2432.9153,2432.6797,2433.3257
2433.2683,2433.15,2433.8481
2446.752,2447.5327,2447.188
2450.92,2451.7676,2451.473
2448.078,2449.5127,2450.3174
2451.1982,2451.0464,2450.113
2451.4875,2450.2341,2450.0613
2451.2124,2449.645,2449.708
2450.454,2449.7366,2448.4631
2439.7559,2439.0657,2439.0864
2437.6025,2437.6353,2438.9504
2439.5972,2441.8142,2441.317
2438.658,2439.0444,2439.8386
2437.211,2437.8604,2439.0022
2436.5454,2438.0522,2437.7063
2433.387,2433.0396,2432.563
2433.3306,2432.4497,2432.8489
2433.237,2432.1133,2432.5332
2432.8137,2431.9636,2432.0632
2432.6016,2431.3386,2430.4795
2419.4758,2418.6594,2418.195
2419.2842,2420.4985,2419.78
